name,store_view_code,url_key,path,active,is_anchor,include_in_menu,position,page_layout,display_mode,cms_block,custom_layout_update
Overhead,default,overhead,Products/Presentation/Projectors,1,1,0,3,2columns-left,PRODUCTS,,
Projector Accessories,default,projector-accessories,Products/Presentation/Projectors,1,1,0,4,2columns-left,PRODUCTS,,
Screens,default,screens,Products/Presentation,1,1,1,7,1column,PAGE,,
Floor,default,floor,Products/Presentation/Screens,1,1,0,1,2columns-left,PRODUCTS,,
Tripod,default,tripod,Products/Presentation/Screens,1,1,0,2,2columns-left,PRODUCTS,,
Wall/Ceiling,default,wall-ceiling,Products/Presentation/Screens,1,1,0,3,2columns-left,PRODUCTS,,
Security,default,security,Products,1,1,1,15,1column,PAGE,,
Security Gates,default,security-gates,Products/Security,1,1,1,1,1column,PAGE,,
EM Detection Gates,default,em-detection-gates,Products/Security/Security Gates,1,1,0,,2columns-left,PRODUCTS,,
RF Detection Gates,default,rf-detection-gates,Products/Security/Security Gates,1,1,0,,2columns-left,PRODUCTS,,
Security Strips & Tags,default,security-strips-tags,Products/Security,1,1,1,2,1column,PAGE,,
Electromagnetic,default,electromagnetic,Products/Security/Security Strips & Tags,1,1,0,,2columns-left,PRODUCTS,,
Radio Frequency,default,radio-frequency,Products/Security/Security Strips & Tags,1,1,0,,2columns-left,PRODUCTS,,
RFID,default,rfid,Products/Security/Security Strips & Tags,1,1,0,,2columns-left,PRODUCTS,,
Self-Check System,default,selfcheck-system,Products/Security,1,1,1,3,1column,PAGE,,
3M,default,3m,Products/Security/Self-Check System,1,1,0,,2columns-left,PRODUCTS,,
Bibliotheca,default,bibliotheca,Products/Security/Self-Check System,1,1,0,,2columns-left,PRODUCTS,,
Demco,default,demco,Products/Security/Self-Check System,1,1,0,,2columns-left,PRODUCTS,,
Sensitizing Equipment,default,sensitizing-equipment,Products/Security,1,1,1,4,1column,PAGE,,
Surveillance,default,surveillance,Products/Security,1,1,1,5,1column,PAGE,,
Traffic Control,default,traffic-control,Products/Security,1,1,1,6,1column,PAGE,,
Barriers,default,barriers,Products/Security/Traffic Control,1,1,0,,2columns-left,PRODUCTS,,
Patron Counters,default,patron-counters,Products/Security/Traffic Control,1,1,0,,2columns-left,PRODUCTS,,
Shelving,default,shelving,Products,1,1,1,16,1column,PAGE,,
Display,default,display,Products/Shelving,1,1,1,1,1column,PAGE,,
Steel,default,steel,Products/Shelving/Display,1,1,0,1,2columns-left,PRODUCTS,,
Wood,default,wood,Products/Shelving/Display,1,1,0,2,2columns-left,PRODUCTS,,
End of Range,default,end-of-range,Products/Shelving,1,1,1,2,1column,PAGE,,
Dictonary & Atlas Stands,default,dictonary-atlas-stands,Products/Shelving/End of Range,1,1,0,1,2columns-left,PRODUCTS,,
Laminate End of Range,default,laminate-end-of-range,Products/Shelving/End of Range,1,1,0,2,2columns-left,PRODUCTS,,
Wood End of Range,default,wood-end-of-range,Products/Shelving/End of Range,1,1,0,3,2columns-left,PRODUCTS,,
Laminate & Melamine,default,laminate-melamine,Products/Shelving,1,1,1,3,1column,PAGE,,
Ironwood,default,ironwood,Products/Shelving/Laminate & Melamine,1,1,0,1,2columns-left,PRODUCTS,,
Paragon,default,paragon,Products/Shelving/Laminate & Melamine,1,1,0,2,2columns-left,PRODUCTS,,
Mobile,default,mobile,Products/Shelving,1,1,1,5,1column,PAGE,,
Laminate,default,laminate,Products/Shelving/Mobile,1,1,0,1,2columns-left,PRODUCTS,,
Wood,default,wood,Products/Shelving/Mobile,1,1,0,2,2columns-left,PRODUCTS,,
Wood & Steel,default,wood-steel,Products/Shelving/Mobile,1,1,0,3,2columns-left,PRODUCTS,,
Steel Cantilever,default,steel-cantilever,Products/Shelving,1,1,1,6,1column,PAGE,,
Canopy Tops,default,canopy-tops,Products/Shelving/Steel Cantilever,1,1,0,1,2columns-left,PRODUCTS,,
DEMCO,default,demco,Products/Shelving/Steel Cantilever,1,1,0,2,2columns-left,PRODUCTS,,
End Panels,default,end-panels,Products/Shelving/Steel Cantilever,1,1,0,3,2columns-left,PRODUCTS,,
Estey,default,estey,Products/Shelving/Steel Cantilever,1,1,0,4,2columns-left,PRODUCTS,,
Gaylord,default,gaylord,Products/Shelving/Steel Cantilever,1,1,0,5,2columns-left,PRODUCTS,,
Steel Case Style,default,steel-case-style,Products/Shelving,1,1,1,7,1column,PAGE,,
Borroughs,default,borroughs,Products/Shelving/Steel Case Style,1,1,0,1,2columns-left,PRODUCTS,,
Tennsco,default,tennsco,Products/Shelving/Steel Case Style,1,1,0,2,2columns-left,PRODUCTS,,
Utility,default,utility,Products/Shelving,1,1,1,8,1column,PAGE,,
